Model,Case Name,Petitioner,Respondent,Issue Presented,Facts of the Case,Ruling by Lower Court,Argument,Statute,Rules,Precedent,Ratio of the Decision,Ruling
SaulLM-7B,MC Mehta Vs. Kamal Nath,MC Mehta,Kamal Nath,Whether private development projects causing river diversion and forest land encroachment violate environmental laws.,"The petitioner disputed that a private resort project, involving river diversion and forest land encroachment, harmed the ecosystem.",The High Court imposed fines on the developers yet permitted the project to proceed.,The petitioner contended that the project breached environmental laws and disrupted public resources.,"Environmental Protection Act, 1986.",The Public Trust Doctrine mandates that natural resources must be preserved for public use.,Prior rulings have reinforced that state responsibility under the Public Trust Doctrine requires sustainable use of natural resources.,The principle is that public resources must be safeguarded against misuse.,The Supreme Court ruled that the project violated the Public Trust Doctrine and mandated the restoration of the affected area.
SaulLM-7B,State of Tamil Nadu Vs. K. Balu,State of Tamil Nadu,K. Balu,Whether a ban on liquor shops within a specified distance from highways is necessary to ensure public safety.,"A PIL challenged the presence of liquor shops along highways, alleging they increase the risk of accidents due to drunk driving.",The High Court maintained the status quo on liquor licensing policies.,The petitioner asserted that unrestricted liquor sales near highways endanger public safety and require regulatory intervention.,"Motor Vehicles Act, 1988.",Relevant Liquor Licensing Rules and Road Safety Regulations.,Prior rulings emphasizing state regulatory authority over liquor sales to protect public safety.,The principle established is that public safety must override commercial interests in liquor regulation.,The Supreme Court mandated a ban on liquor shops within 500 meters of highways to safeguard public safety.
SaulLM-7B,Delhi Transport Corporation Vs. DTC Mazdoor Congress,Delhi Transport Corporation,DTC Mazdoor Congress,Whether the termination of DTC employees without due process violates principles of natural justice.,"Employees of the DTC were terminated arbitrarily, prompting a legal challenge based on a violation of due process.","The High Court ruled for the employees, ordering their reinstatement.",The petitioner contended that the termination was a matter of managerial discretion.,"Constitution of India, Article 14.","Industrial Disputes Act, 1947.",Prior rulings emphasize that termination decisions must comply with due process and natural justice.,The principle established is that arbitrary termination is unconstitutional without adherence to procedural fairness.,The Supreme Court affirmed the High Court’s decision and ordered the reinstatement of the terminated employees.
SaulLM-7B,State of Uttar Pradesh Vs. Raj Narain,State of Uttar Pradesh,Raj Narain,Whether government documents affecting public interest must be disclosed under the right to information.,The petitioner demanded access to election-related government documents to enhance transparency and accountability.,The High Court ordered the disclosure of the contested documents in favor of public transparency.,The petitioner argued that certain documents were confidential and should not be made public.,"Constitution of India, Article 19(1)(a).",The framework under Right to Information and Public Accountability Laws mandates disclosure of information affecting public interest.,Prior judgments on freedom of information support the disclosure of government records affecting the public.,The decision is based on the principle that public interest outweighs confidentiality in matters of governmental transparency.,The Supreme Court affirmed that the right to information is a fundamental right.
SaulLM-7B,M. Nagaraj Vs. Union of India,M. Nagaraj,Union of India,"Whether reservations in promotions for SC/ST employees are constitutional, provided they are based on quantifiable data.",The petitioner disputed reservations in promotions on the grounds that they undermine merit and must be justified by data.,The High Court maintained that the reservation policy was valid.,The petitioner contended that reservations must be objectively justified by measurable evidence of backwardness.,"Constitution of India, Article 16(4A).",Reservation policies in public employment must be supported by quantifiable data to justify their extension to promotions.,The Indra Sawhney judgment emphasizes that reservations in promotions require objective criteria.,"The principle is that reservation in promotions is permissible only if supported by clear, measurable data on backwardness.","The Supreme Court upheld the validity of promotions reservations, directing that they be substantiated by objective data."
SaulLM-7B,Joseph Shine Vs. Union of India,Joseph Shine,Union of India,"Whether Section 497 IPC, which criminalizes adultery, violates gender equality and personal autonomy.","The petitioner challenged the criminalization of adultery, arguing that it violated gender equality and undermines personal autonomy.",The High Court maintained the validity of Section 497 IPC.,The petitioner asserted that criminalizing adultery in the current form is inherently discriminatory and unconstitutional.,"Indian Penal Code, Section 497.","Fundamental rights under Articles 14, 15, and 21 must be upheld.",Judicial precedents on gender equality and personal liberty support the challenge.,"The principle is that a law criminalizing consensual behavior, which treats women as property.","The Supreme Court declared Section 497 IPC unconstitutional, thereby decriminalizing adultery."
SaulLM-7B,Kartar Singh Vs. State of Punjab,Kartar Singh,State of Punjab,Whether TADA’s provisions violate fundamental rights by allowing extended detention without trial.,"The petitioner contended that TADA’s provisions, particularly on preventive detention, infringe upon due process rights.",The High Court ruled that TADA was constitutional and necessary for national security.,The petitioner asserted that TADA’s stringent provisions arbitrarily restricted personal liberty and fair trial rights.,"Terrorist and Disruptive Activities (Prevention) Act, 1987.",Fundamental rights under Articles 14 and 21 must be protected even in counterterrorism laws.,Judicial precedents balancing counterterrorism laws with constitutional safeguards.,"National security is a valid concern, but laws like TADA must be subject to judicial review and procedural safeguards.",The Supreme Court upheld TADA but imposed safeguards to prevent its arbitrary use and ensure procedural fairness.
SaulLM-7B,Nandini Satpathy Vs. P.L. Dani,Nandini Satpathy,P.L. Dani,Whether compelling an accused to answer police questions violates Article 20(3) of the Constitution.,"The petitioner refused to answer interrogation questions, claiming her right against self-incrimination under Article 20(3).",The High Court held that refusal to answer could be interpreted as an adverse inference.,The petitioner contended that compelling answers during police questioning violates constitutional protections.,"Article 20(3) of the Indian Constitution, protecting individuals from self-incrimination.",Constitutional provisions safeguarding accused individuals from forced self-incrimination.,Judicial precedents reinforcing the right against compelled testimony.,"Forced self-incrimination is unconstitutional, and legal protections must be upheld.","The Supreme Court reinforced Article 20(3), protecting accused individuals from coercive interrogation tactics."
SaulLM-7B,Sarla Mudgal Vs. Union of India,Sarla Mudgal,Union of India,Whether a Hindu man can convert to Islam solely to practice polygamy without dissolving the first marriage.,A Hindu man embraced Islam for the purpose of contracting a second marriage while his first Hindu marriage remained valid.,"The High Court held that under Muslim personal law, the second marriage was legally permissible.",The petitioner contended that religious conversion should not be used as a tool to evade Hindu marriage laws.,"Hindu Marriage Act, 1955, which prohibits bigamy for Hindus.",Legal principles on bigamy and marriage across different religious laws.,Judicial decisions on conflicts between personal laws and fundamental rights.,Religious conversion does not grant automatic exemption from prior legal obligations under personal laws.,The Supreme Court held that a converted Muslim cannot escape liability under Hindu marriage laws for bigamy.
SaulLM-7B,Visakha Vs. State of Rajasthan,Visakha,State of Rajasthan,Lack of legal framework for addressing workplace sexual harassment.,"A woman faced workplace harassment, prompting a PIL seeking legal measures for protection.","The High Court rejected the plea, stating that no formal law existed to address workplace sexual harassment.","The petitioner contended that fundamental rights necessitate protection against workplace harassment, even in absence of a statute.","Fundamental Rights under Articles 14, 19, and 21.",Supreme Court’s role in developing legal norms for gender justice at workplaces.,Lack of established jurisprudence on workplace sexual harassment before this case.,Protection against harassment is implicit in the fundamental right to dignity and equality.,"The Supreme Court formulated the Vishaka Guidelines, establishing mandatory workplace safety measures."
SaulLM-7B,Bachan Singh Vs. State of Punjab,Bachan Singh,State of Punjab,Whether the death penalty violates fundamental rights under Article 21.,The petitioner was sentenced to death under IPC Section 302 and challenged its constitutional validity.,The High Court ruled that the death penalty is constitutional and does not violate fundamental rights.,The petitioner claimed that capital punishment is arbitrary and infringes upon the right to life and dignity.,"Indian Penal Code, Section 302.",The principle that the death penalty should be applied only in the ‘rarest of rare’ cases.,Earlier judgments on the constitutionality and limitations of the death penalty.,The Supreme Court ruled that capital punishment is valid but must be restricted to extraordinary cases.,The Supreme Court confirmed the legality of the death penalty but emphasized the ‘rarest of rare’ doctrine.
SaulLM-7B,State of Punjab Vs. Dalbir Singh,State of Punjab,Dalbir Singh,Whether the mandatory death penalty under the NDPS Act violates judicial discretion.,The case questioned whether imposing a mandatory death sentence under the NDPS Act is constitutional.,The High Court ruled that the mandatory death penalty under NDPS Act was valid.,The respondent argued that eliminating judicial discretion in sentencing is unconstitutional.,"NDPS Act, 1985.",The principle that sentencing should allow for judicial discretion.,Reference to Bachan Singh and ‘rarest of rare’ doctrine.,Courts must have discretion in sentencing to consider case-specific circumstances.,The Supreme Court ruled that a mandatory death penalty under the NDPS Act is unconstitutional.
SaulLM-7B,State (Delhi Administration) Vs. Vishwa Bandhu Alias Billa and Another,State (Delhi Administration),Vishwa Bandhu Alias Billa and Ram Kishan Alias Phokan,Whether the High Court's acquittal was legally justified based on the available evidence.,"Phokan, armed with a knife, attempted to escape and called out to Billa; the High Court reversed the conviction due to insufficient evidence.","The High Court acquitted the accused, finding the evidence insufficient to establish guilt beyond a reasonable doubt.",Argued that the evidence did not meet the standard of proof required to establish guilt beyond a reasonable doubt.,"Section 302 IPC, Section 34 IPC.",The prosecution must prove the elements of murder beyond a reasonable doubt.,No precedent was cited by the High Court.,"The Supreme Court determined that sufficient evidence existed to convict the accused, thereby reversing the High Court's acquittal.",The acquittal was overturned; both accused were convicted under Section 326 IPC and sentenced to six years of rigorous imprisonment.
SaulLM-7B,Ram Saran Dass Vs. State of Punjab,Ram Saran Dass,State of Punjab,"Whether the termination order, effectively a dismissal without due process, required constitutional safeguards.",The petitioner was terminated and argued that the order was punitive and lacked due process.,The High Court dismissed the petition outright.,"The petitioner argued that the termination was effectively a dismissal and arbitrary, thus requiring constitutional protection under due process principles.",Article 311(2) of the Indian Constitution.,Service Rule 23 governing termination of employment.,Established case law emphasizing procedural fairness and due process in dismissals.,The Supreme Court held that the principles of natural justice mandate allowing the respondent to be heard prior to dismissal of the petition.,The Supreme Court allowed the appeal and remanded the case so that the respondent could present its case.
SaulLM-7B,Credit Agricole Indosuez Vs. Credential Finance Limited,Credit Agricole Indosuez,Credential Finance Limited,Whether the non-crediting of a cheque post-clearance justifies winding up under the Companies Act.,"A banking company (petitioner) maintained the respondent's account, and the cheque amount was not credited after clearance.",The petition for winding up was dismissed by the lower court.,It was argued that there were valid reasons for the cheque not being credited.,"Sections 433 & 434 of the Companies Act, 1956.",The case hinges on how judicial interpretations define cheque clearance obligations.,Established case law regarding cheque clearance and corporate insolvency is relevant.,The decision centers on if the failure to credit a cheque constitutes an inability to pay debts under the legal framework.,Appeal filed; further hearings required.
SaulLM-7B,A.K. Gopalan Vs. State of Madras,A.K. Gopalan,State of Madras,Whether preventive detention under the Preventive Detention Act violates Article 21 rights.,"The petitioner challenged his detention under the Preventive Detention Act, 1950, claiming it breached his fundamental rights under Article 21.",The High Court upheld the validity of the Preventive Detention Act.,The petitioner contended that detention without a fair trial infringed on Article 21 protections.,The interpretation of fundamental rights under Article 21.,Fundamental Rights under Article 21.,No specific precedent on preventive detention laws was cited.,"Article 21 is subject to procedural laws, and preventive detention can be valid if due process is followed.","The Supreme Court affirmed the Act’s validity, though subsequent interpretations have broadened the scope of Article 21 protections."
SaulLM-7B,State of West Bengal Vs. Anwar Ali Sarkar,State of West Bengal,Anwar Ali Sarkar,Whether referral to special courts violates Article 14's guarantee of equality before the law.,The petitioner argued that the law permitting selective referral to special courts breached the right to equality.,The High Court struck down the law as discriminatory.,It was argued that referring cases only to special courts undermines the principle of non-discrimination guaranteed by Article 14.,"Constitution of India, Article 14.",The principle that legal processes must be uniform and non-arbitrary.,Prior decisions addressing the role of special courts and the requirement of non-discrimination.,The ruling emphasized that any special court mechanism must adhere to uniform standards to ensure equality before the law.,The Supreme Court declared the law unconstitutional for violating Article 14.
SaulLM-7B,Kedar Nath Singh Vs. State of Bihar,Kedar Nath Singh,State of Bihar,Sedition and freedom of speech under Article 19(1)(a).,"The petitioner, who criticized government policies, was convicted under Section 124A IPC (sedition).",The High Court upheld the sedition conviction.,The petitioner contended that sedition laws impose unreasonable restrictions on free speech.,Section 124A of the Indian Penal Code.,Free speech may be restricted reasonably under the law.,Existing precedents on sedition and free speech.,Government criticism does not constitute sedition unless it incites violence.,The Supreme Court maintained Section 124A but restricted its use to cases where the speech incites violence.
SaulLM-7B,Bharat Singh Vs. State of Haryana,Bharat Singh,State of Haryana,Whether the land acquisition was for a legitimate public purpose.,The petitioner contended that the acquisition of agricultural land was not intended for a public purpose.,The High Court upheld the acquisition.,The petitioner maintained that the acquisition violated landowners' rights by not providing fair compensation.,"Land Acquisition Act, 1894.",The acquisition must be for a legitimate public purpose.,Established case law on land acquisition and compensation is relevant.,The decision confirmed that land acquisition is valid only if it serves a public purpose and ensures fair compensation.,The Supreme Court upheld the government’s decision while stressing the importance of fair compensation to landowners.
SaulLM-7B,Supreme Court Advocates-on-Record Association Vs. Union of India,Supreme Court Advocates-on-Record Association,Union of India,Whether the NJAC Act violates judicial independence by undermining the separation of powers.,"The NJAC Act, 2014, was contested as it was alleged to erode the independence of the judiciary by increasing executive influence over judicial appointments.",The High Court ruled in favor of the NJAC’s validity.,It was contended that the NJAC diluted judicial independence by interfering with the constitutional process of judicial appointments.,"NJAC Act, 2014.",The constitutional framework governing judicial appointments and the separation of powers.,Earlier case law emphasizing the principle of judicial independence and separation of powers.,The ruling stressed that judicial independence is fundamental to the Constitution and any attempt to dilute it.,"The Supreme Court declared the NJAC unconstitutional, thereby preserving judicial independence."
SaulLM-7B,Laxmi Vs. Union of India,Laxmi,Union of India,Whether stricter acid sale regulations and enhanced victim compensation are necessary to protect acid attack survivors.,"A Public Interest Litigation challenged existing laws, arguing that lax regulation of acid sales led to frequent attacks and insufficient support for victims.",The High Court recommended more rigorous enforcement of current regulations.,It was contended that unrestricted acid sales facilitate attacks and that victims need better rehabilitation and compensation measures.,"Constitution of India, Article 21.",Legal framework governing acid sale and provisions for victim support and rehabilitation.,Prior decisions concerning women's safety and victim protection.,The decision emphasizes that enhanced regulation of acid sales and adequate victim compensation are crucial to prevent acid attacks.,The Supreme Court ruled in favor of stricter acid sale regulations and improved compensation for acid attack survivors.
SaulLM-7B,Tamil Nadu Govt. Vs. Union of India,Tamil Nadu Govt.,Union of India,Whether central laws affecting education infringe on the state’s powers over education policy.,The state argued that central laws impacting education should not interfere with state authority in education.,The High Court upheld the central laws.,"It was argued that education should primarily fall within state jurisdiction, as per constitutional provisions, despite shared responsibilities with the center.","Constitution of India, Seventh Schedule.",The constitutional framework dividing subjects between the state and central governments.,Earlier rulings addressing federalism and the respective roles of the state and central governments in education.,"The decision confirms that while education involves concurrent jurisdiction, the central laws are valid, with states granted flexibility in their implementation.","The Supreme Court ruled in favor of the central laws, simultaneously allowing states to exercise discretion in how they implement education policies."
SaulLM-7B,Subramanian Swamy Vs. Union of India,Subramanian Swamy,Union of India,Whether criminal defamation laws of the IPC violate the right to free speech.,"The petitioner contended that criminal defamation laws unduly restricted free speech, as they criminalize acts that should be civil offenses.",The High Court ruled that the criminal defamation provisions in the IPC were constitutionally valid.,"The petitioner argued that defamation should be treated as a civil offense, rather than a criminal one, to preserve free speech.","Indian Penal Code, Sections 499 and 500.",Protection of reputation and freedom of speech.,Previous rulings on defamation and its limitations in the context of free speech.,"Defamation laws are necessary to protect individual reputation, and their criminalization is a reasonable restriction on free speech.",The Supreme Court upheld the constitutionality of criminal defamation laws.
SaulLM-7B,Ram Jawaya Kapur Vs. State of Punjab,Ram Jawaya Kapur,State of Punjab,Whether the executive has the authority to act independently without legislative authorization.,"The petitioner contested the government's executive powers, specifically the running of businesses without legislative authorization.","The High Court upheld the government’s action, asserting the scope of executive powers.",The petitioner claimed that the executive’s action to run a business without legislative sanction violated the doctrine of separation of powers.,"Constitution of India, Article 162.","Separation of powers between the legislature, executive, and judiciary.",Previous cases on the scope and limits of executive authority under the Indian Constitution.,"Executive powers are valid in areas not explicitly covered by legislation, but they must not contravene legislative authority.",The Supreme Court affirmed the government’s action.
SaulLM-7B,State of Bihar Vs. K.K. Misra,State of Bihar,K.K. Misra,"Whether government employees have the right to strike, especially when it involves essential services.","Government employees in Bihar went on strike demanding higher wages, resulting in disciplinary measures against them.","The High Court ruled that the strike was justified under the circumstances, allowing employees to claim rights to protest.",The respondent argued that workers have the right to strike as part of their freedom of association.,"Constitution of India, Article 19(1)(c).",Restrictions on strikes in essential services and the rights of employees to protest or form associations.,Earlier judgments regarding government employees' rights to protest and the limits of such rights.,The right to strike must be balanced with the larger public interest.,The Supreme Court ruled that government employees do not have the unrestricted right to strike.
SaulLM-7B,Sundararamier & Co. Vs. State of Andhra Pradesh,Sundararamier & Co.,State of Andhra Pradesh,Whether a state law imposing sales tax on inter-state trade is valid under the Constitution.,The petitioner contended that a state-imposed sales tax on inter-state trade violated the Constitution by infringing on Parliament's exclusive power.,The High Court ruled that the state law imposing a sales tax on inter-state trade was constitutionally valid.,The respondent argued that the state law was valid under the Constitution and complied with fiscal federalism principles.,"Constitution of India, Article 286.",Restrictions on state taxation powers concerning inter-state trade.,Previous cases on fiscal federalism.,The Supreme Court held that the state law imposing sales tax on inter-state trade violated the Constitution by encroaching on Parliament's exclusive taxation powers.,"The Supreme Court struck down the state law, ruling that only Parliament has the exclusive power to tax inter-state trade."
SaulLM-7B,Golak Nath Vs. State of Punjab,Golak Nath,State of Punjab,Whether Parliament has the power to amend fundamental rights under Article 368 of the Indian Constitution.,The petitioner argued that amendments by Parliament to curtail fundamental rights were unconstitutional.,High Court upheld the power of Parliament to amend fundamental rights.,"The respondent argued that Parliament’s power to amend the Constitution, including fundamental rights.","Constitution of India, Article 368.",The doctrine of implied limitations on Parliament’s power to amend the Constitution.,Previous rulings did not restrict Parliament's ability to amend fundamental rights.,The Supreme Court held that fundamental rights are beyond the power of Parliament to amend.,"The Supreme Court ruled that fundamental rights are unamendable, but this was later overruled in the Kesavananda Bharati case."
SaulLM-7B,Shankarappa Vs. Union of India,Shankarappa,Union of India,Whether the government's censorship powers over films violate freedom of speech.,"The petitioner challenged the Censor Board's denial of certification, claiming it infringed upon the right to free speech.",High Court upheld the decision of the Censor Board to deny certification.,The petitioner argued that censorship by the government violated freedom of speech.,"Cinematograph Act, 1952, which governs film certification and censorship in India.",Censorship powers must be exercised reasonably and within the framework of freedom of speech regulations.,Previous cases on the balance between free speech and reasonable censorship in media and films.,Censorship must be exercised based on reasonable grounds and cannot be arbitrarily imposed by the government.,"The Supreme Court ruled that while censorship is allowed, it must not be arbitrary or infringe upon fundamental freedoms of speech."
SaulLM-7B,Madhu Limaye Vs. Sub-Divisional Magistrate,Madhu Limaye,Sub-Divisional Magistrate,"Whether Section 144 CrPC, when used to curb public gatherings, infringes upon the right to freedom of speech and assembly.","The petitioner challenged the government's frequent use of Section 144 CrPC, which prohibits public gatherings, as a restriction on free speech.",High Court upheld the use of Section 144 CrPC by the government to maintain public order and prevent disturbances.,"The petitioner argued that Section 144 was being misused to curb free speech and the right to assemble, violating fundamental rights.","Code of Criminal Procedure, which allows the government to issue orders to prevent public gatherings in certain situations.",Freedom of speech and protection of life and personal liberty.,Previous rulings on the use of Section 144 CrPC in relation to maintaining public order and its compatibility with fundamental rights.,"Section 144 can be invoked in specific cases of emergency, but its use must not be routine or arbitrary. It must not infringe upon fundamental freedoms.","The Supreme Court upheld Section 144 but placed restrictions on its arbitrary use, emphasizing that it must be invoked in exceptional circumstances."
SaulLM-7B,Rupa Ashok Hurra Vs. Ashok Hurra,Rupa Ashok Hurra,Ashok Hurra,Whether the Supreme Court should allow reconsideration of its judgment through a curative petition after review petitions are exhausted.,"The petitioner sought a curative petition after the rejection of review petitions, claiming that a gross miscarriage of justice had occurred.","High Court ruled that after the exhaustion of review petitions, no further appeal or petition could be entertained.",The petitioner argued that the courts should provide a mechanism to correct serious judicial errors and prevent miscarriage of justice.,"Article 137 of the Constitution, which allows the Supreme Court to review its judgments.",Judicial review and the scope of curative petitions as a mechanism for correcting judicial errors.,Previous rulings on the finality of judgments and the limited scope for judicial review after a decision has been made.,The Supreme Court held that a curative petition can be used in exceptional cases of gross miscarriage of justice where there has been a fundamental error.,The Supreme Court established the concept of curative petitions to allow for correction of judicial errors in rare and exceptional circumstances.
SaulLM-7B,Shyam Narayan Chouksey Vs. Union of India,Shyam Narayan Chouksey,Union of India,Whether the mandatory playing of the national anthem in cinemas is required by law to promote patriotism.,The petitioner sought a directive to make the playing of the national anthem before movies mandatory.,"The High Court dismissed the petition, stating that mandating the national anthem before screenings was not legally required.",The petitioner argued that making the national anthem mandatory would promote national pride and unity among citizens.,"Prevention of Insults to National Honour Act, 1971, and guidelines on national symbols.",Legal principles surrounding respect for national symbols under the Constitution.,Previous cases regarding respect for national symbols and the constitutional framework surrounding the national anthem.,"The Supreme Court initially made the playing of the national anthem mandatory but later reversed the decision, making it optional.","The Supreme Court ruled that while citizens should respect the national anthem, making it mandatory in cinemas was not a legal requirement."
SaulLM-7B,State of Kerala Vs. N.M. Thomas,State of Kerala,N.M. Thomas,Whether extending reservations in promotions to SC/ST employees exceeds constitutional provisions.,"The petitioner challenged the extension of reservations to promotions for SC/ST employees, contending it violated constitutional provisions on reservation.",The High Court struck down the government policy of providing reservations in promotions for SC/ST employees.,The petitioner argued that reservations should be available not only for initial appointments but also for promotions in order to uplift backward classes.,"Constitution of India, Article 16(4).",Public employment laws governing reservation policies.,"Previous cases, particularly the Indra Sawhney case, which dealt with the limits of reservation policies in public employment.",The Supreme Court upheld reservation in promotions under specific conditions.,"The Supreme Court upheld the policy of reservation in promotions for SC/ST employees, but only under specific conditions justified by social justice."
SaulLM-7B,Vishwanath Vs. State of Uttar Pradesh,Vishwanath,State of Uttar Pradesh,"Whether mere suspicion of dowry death can lead to conviction, and the shift of burden of proof in such cases.",A woman’s death under suspicious circumstances soon after her marriage prompted an investigation under dowry death laws.,"The High Court convicted the accused under Section 304B of the Indian Penal Code, relating to dowry death.","The petitioner contended that suspicion alone, without concrete evidence, should not result in a conviction under dowry death laws.","Indian Penal Code, Section 304B, pertaining to dowry death.","The Dowry Prohibition Act, 1961, which penalizes dowry-related offenses.",Prior rulings on dowry deaths and the shifting burden of proof in such cases.,"The Supreme Court upheld the conviction, emphasizing that in dowry death cases.",The Supreme Court upheld the conviction under dowry death laws but stressed that the evidence must be strong and convincing.
SaulLM-7B,MC Mehta Vs. Union of India (Ganga Pollution Case),MC Mehta,Union of India,Whether the failure to prevent pollution in the Ganga River violated the right to a clean environment.,The petitioner filed a PIL to address the severe pollution in the Ganga River caused by industrial effluents and untreated sewage.,The High Court issued directions to control pollution but failed to enforce them strictly.,The petitioner argued that the continued pollution violated the fundamental right to a clean and healthy environment.,"Environmental Protection Act, 1986.","Water (Prevention and Control of Pollution) Act, 1974.",Previous rulings on environmental pollution and the state’s responsibility to protect natural resources.,"The state has a constitutional duty to protect and maintain water bodies, and pollution laws must be enforced effectively.",The Supreme Court mandated stricter monitoring and closure of industries polluting the Ganga River.
SaulLM-7B,Govind Vs. State of Madhya Pradesh,Govind,State of Madhya Pradesh,Whether police surveillance violates the petitioner’s right to privacy.,"The petitioner challenged police surveillance, claiming it was an infringement of his right to privacy.","The High Court upheld the surveillance, citing its necessity for maintaining public order and safety.",The petitioner argued that unrestricted police surveillance was a violation of his personal liberty and right to privacy.,"Constitution of India, Article 21.",Right to privacy and police surveillance procedures under the Constitution.,Previous cases on the balance between surveillance for public safety and individual privacy.,The right to privacy is fundamental but may be subject to reasonable restrictions.,The Supreme Court upheld the surveillance but called for appropriate safeguards to protect privacy from unnecessary intrusion.
SaulLM-7B,Indian Medical Association Vs. V.P. Shantha,Indian Medical Association,V.P. Shantha,Whether medical services provided for consideration fall under the Consumer Protection Act.,"The respondent filed a complaint for medical negligence, seeking compensation under the Consumer Protection Act.",The High Court held that medical services provided for payment are subject to consumer protection laws.,The petitioner argued that doctors should not be considered service providers under the Consumer Protection Act.,"Consumer Protection Act, 1986.","The Consumer Protection Act applies to services rendered for a fee, including medical services.",Precedents regarding the scope of services under consumer protection laws.,The Supreme Court affirmed that medical services provided for consideration fall under the Consumer Protection Act.,The Supreme Court ruled that medical negligence can be addressed under the Consumer Protection Act.
SaulLM-7B,People Union for Democratic Rights Vs. Union of India,People Union for Democratic Rights,Union of India,"Whether labor laws are being enforced in construction projects, particularly during the Asiad Games construction.","A  PIL was filed to address violations of labor laws in construction projects during the Asiad Games, specifically regarding worker rights.",The High Court found labor law violations but only issued advisory recommendations without enforcing strict action.,The petitioner argued that the violation of labor laws and the non-enforcement of these laws were infringing on the fundamental rights of workers.,"Minimum Wages Act, 1948; Constitution of India.",Labor rights and the obligation of the state to implement labor laws effectively.,Previous cases related to the enforcement of labor laws and the duties of the state to ensure worker protection.,The state has a constitutional obligation to ensure the enforcement of labor laws to protect workers' rights and ensure proper conditions.,"The Supreme Court directed the strict enforcement of labor laws, emphasizing the need to protect the fundamental rights of workers."
SaulLM-7B,Ramesh Vs. Union of India,Ramesh,Union of India,Whether a TV serial that allegedly promotes religious intolerance should be banned for violating public order and national integration.,A complaint was filed against a TV serial that was accused of spreading communal disharmony and promoting religious intolerance.,"The High Court ruled that the TV serial could continue broadcasting, finding no grounds for a ban.",The petitioner argued that the content of the serial incited communal hatred and should be banned under the law.,"Cinematograph Act, 1952.","Freedom of speech is not absolute and is subject to reasonable restrictions, including the prevention of incitement to violence.","Previous rulings on balancing free speech with public order, media regulation, and incitement to violence.","Artistic freedom is protected under free speech, but content that incites violence or hatred may be restricted.","The Supreme Court upheld the right to broadcast, emphasizing that content should be monitored for objectionable material but not banned outright."
SaulLM-7B,Hindustan Sugar Mills Ltd. Vs. State of Rajasthan and Others,Hindustan Sugar Mills Ltd.,State of Rajasthan and Others,Whether freight charges should be included in the taxable sale price for cement under the Cement Control Order and related tax laws.,"The petitioner, Hindustan Sugar Mills, sells cement within and outside Rajasthan and disputed the inclusion of freight in the taxable sale price.","Lower authorities decided that freight charges should be included in the sale price, subjecting them to tax under the applicable sales tax law.",The petitioner argued that freight charges were part of the price of the cement and should therefore be included in the taxable sale price.,"Central Sales Tax Act, 1956, Rajasthan Sales Tax Act, 1954.","Taxation laws relating to the definition of ""sale price"" under the Central and Rajasthan Sales Tax Acts.",Previous cases interpreting the inclusion of freight charges in taxable sale prices under similar tax laws.,The main issue was whether freight charges could be considered part of the sale price for the purpose of taxation under the Cement Control Order.,The case remains pending on the determination of whether freight charges should be included in the sale price for tax purposes.
SaulLM-7B,R.G. Anand Vs. Delux Films,R.G. Anand,Delux Films,"Whether there was copyright infringement by Delux Films for allegedly copying the theme, characters, and storyline from Anand's play.","R.G. Anand claimed that Delux Films' movie was based on his play, involving similarities in characters, theme, and overall expression.","High Court ruled that the similarities between the play and the film were incidental, not significant enough to constitute infringement.","Anand argued that the film’s similarities in theme and expression amounted to copyright infringement, despite the lack of identical details.","Copyright Act, 1957.","The concept of substantial similarity in determining copyright infringement, specifically focusing on the level of expression copied.","Earlier decisions on artistic originality, protection of literary works, and the concept of substantial similarity in copyright cases.",Copyright infringement does not occur simply because the theme is similar unless the actual expression or specific details are copied.,"The Supreme Court ruled that broad themes and general ideas cannot be copyrighted, and the petitioner's claim of infringement was dismissed."
SaulLM-7B,Shri Roshanlal Gautam Vs. State Of Uttar Pradesh And Others,Shri Roshanlal Gautam,State of Uttar Pradesh and Others,Whether the Uttar Pradesh government had the authority to nationalize transport services.,"Shri Roshanlal Gautam had a valid contract carriage permit for the Agra region, which was impacted by the state's decision to nationalize transport routes.",The Allahabad High Court upheld the Uttar Pradesh government's decision to nationalize transport services.,"Gautam argued that the state could not revoke his permit, as it interfered with his legal rights as a permit holder.","Motor Vehicles Act, 1939,","Section 68-C of the Motor Vehicles Act, 1939, allowing the state to nationalize routes and revoke private operator permits.","Previous rulings interpreting Section 68-C, particularly concerning the state's power to nationalize transport routes.",The case focused on whether private operators had a legal claim against the government's decision to nationalize transport services.,Awaiting Supreme Court's verdict. 
SaulLM-7B,P. Rathinam Vs. Union of India,P. Rathinam,Union of India,"Whether Section 309 of the Indian Penal Code (IPC), criminalizing attempted suicide, violates the right to life and dignity.",P. Rathinam challenged the criminalization of attempted suicide.,"The High Court upheld the constitutionality of Section 309 IPC, ruling that attempted suicide was a punishable offense.","Rathinam argued that the right to life under Article 21 includes the right to end one’s life, and that Section 309 IPC is unconstitutional.","Indian Penal Code, Section 309.","Article 21 of the Constitution of India, guaranteeing the right to life and personal liberty.",Earlier rulings on personal autonomy and whether the state could intervene in matters of an individual's choice regarding life.,"The right to life does not inherently grant the right to die or to attempt suicide. Section 309 IPC remains valid, subject to further review.",The Supreme Court initially ruled to decriminalize attempted suicide but later upheld the validity.
