Model,Case Name,Petitioner,Respondent,Issue Presented,Facts of the Case,Ruling by Lower Court,Argument,Statute,Rules,Precedent,Ratio of the Decision,Ruling
LLAMA2_7B,Sarla Mudgal Vs. Union of India,Sarla Mudgal,Union of India,Bigamy and conversion to Islam to circumvent marriage laws.,"A Hindu man converted to Islam solely to marry a second wife without divorcing his first wife, leading to questions about bigamy laws.",High Court upheld the second marriage as valid under Muslim law.,Petitioner argued that conversion to Islam solely for bigamy purposes should not be permitted.,"Hindu Marriage Act, 1955.",Personal laws and bigamy restrictions.,Previous rulings on marriage and conversion.,Conversion should not be misused to bypass personal law restrictions.,Supreme Court ruled that conversion to Islam does not automatically nullify the first marriage.
LLAMA2_7B,Visakha Vs. State of Rajasthan,Visakha,State of Rajasthan,Workplace sexual harassment and absence of laws for protection.,"A PIL was filed after a woman was subjected to workplace sexual harassment, demanding legal safeguards.","High Court dismissed the petition, citing lack of specific legislation.",Petitioner argued that absence of a law does not negate the duty to protect women from harassment.,"Constitution of India, Articles 14, 19, 21.",Guidelines framed by Supreme Court for workplace harassment.,No prior comprehensive ruling on workplace harassment laws.,"Workplace safety is a fundamental right, and guidelines must be established.",Supreme Court laid down the Vishaka Guidelines for the prevention of sexual harassment.
LLAMA2_7B,Bachan Singh Vs. State of Punjab,Bachan Singh,State of Punjab,Constitutionality of the death penalty.,"The petitioner challenged the validity of the death penalty under Section 302 IPC, arguing that it violated fundamental rights.",High Court upheld the death penalty as a valid form of punishment.,Petitioner argued that the death penalty was arbitrary and violated Article 21.,"Indian Penal Code, Section 302.",Doctrine of 'rarest of rare' cases.,Previous cases on capital punishment.,The death penalty is constitutional but should be imposed only in the 'rarest of rare' cases.,Supreme Court upheld the death penalty with strict limitations.
LLAMA2_7B,State of Punjab Vs. Dalbir Singh,State of Punjab,Dalbir Singh,Validity of mandatory death sentence under NDPS Act.,The petitioner challenged the provision of the Narcotic Drugs and Psychotropic Substances (NDPS) Act that imposed a mandatory death penalty.,High Court upheld the mandatory death sentence provision.,Petitioner argued that mandatory death sentences violated the right to judicial discretion.,"NDPS Act, 1985.",Sentencing guidelines under criminal law.,Bachan Singh case on capital punishment.,Mandatory death sentences violate the principle of judicial discretion.,Supreme Court struck down the mandatory death sentence provision.
LLAMA2_7B,State (Delhi Administration) Vs. Vishwa Bandhu Alias Billa and Another,State (Delhi Administration),Vishwa Bandhu Alias Billa and Ram Kishan Alias Phokan,Whether the High Court's acquittal of the accused was legally justified given the evidence on record.,"Phokan, holding a knife, struggled to escape and called out to Billa. The Delhi High Court overturned the conviction, citing insufficient evidence. ",The High Court set aside the conviction and acquitted them.,Maintained that the prosecution did not establish guilt beyond a reasonable doubt.,"Section 302 IPC, Section 34 IPC.",Murder requires conclusive proof beyond a reasonable doubt.,No specific precedent mentioned.,"The Supreme Court held that the evidence established the respondents' guilt, and the High Court erred in acquitting them.","The Supreme Court overturned the acquittal, convicting both accused under Section 326 IPC and sentencing them to six years of rigorous imprisonment."
LLAMA2_7B,Ram Saran Dass Vs. State of Punjab,Ram Saran Dass,State of Punjab,Whether the termination order was a disguised dismissal requiring constitutional protection it was issued in bad faith.,"The petitioner’s services were terminated, and he claimed the order amounted to punishment without due process.  The High Court dismissed his petition outright.",The Punjab High Court summarily dismissed the petition.,Petitioner argued that the termination was actually a dismissal requiring constitutional safeguards and that the order was arbitrary.,Article 311(2) of the Indian Constitution.,Service Rule 23 governing termination of employment.,Established case law on procedural fairness and due process in dismissals.,The Supreme Court ruled that natural justice required the High Court to allow the respondent to file a response before dismissing the case.,"The appeal was allowed, and the matter was remanded to allow the respondent to present its case."
LLAMA2_7B,Credit Agricole Indosuez Vs. Credential Finance Limited,Credit Agricole Indosuez,Credential Finance Limited,Whether failure to credit the cheque amount after clearance is grounds for winding up under the Companies Act.,"The Petitioner, a banking company, maintained the Respondent's account.",The Company Petition was dismissed.,Likely countered that the cheque was not credited due to legitimate reasons.,"Sections 433 & 434 of the Companies Act, 1956.",Judicial interpretation of cheque clearance obligations.,Case law on cheque clearance and corporate insolvency.,Whether the non-crediting of a cheque amounts to an inability to pay debts under the law.,Appeal filed; further hearings required.
LLAMA2_7B,A.K. Gopalan Vs. State of Madras,A.K. Gopalan,State of Madras,Validity of preventive detention under Article 21.,"The petitioner was detained under the Preventive Detention Act, 1950, and challenged its constitutionality, arguing that it violated his fundamental rights.",High Court upheld the Preventive Detention Act.,Petitioner argued that preventive detention without a fair trial violated Article 21.,"Preventive Detention Act, 1950.",Fundamental Rights under Article 21.,No prior ruling on preventive detention laws.,"Article 21 is subject to procedural laws, and preventive detention can be valid if due process is followed.",Supreme Court upheld the Preventive Detention Act but later interpretations expanded Article 21 protections.
LLAMA2_7B,State of West Bengal Vs. Anwar Ali Sarkar,State of West Bengal,Anwar Ali Sarkar,Special courts and equality before law under Article 14.,"The petitioner challenged a law allowing the government to refer cases to special courts, arguing that it violated the right to equality.",High Court struck down the law as discriminatory.,Petitioner argued that selective referral to special courts violated Article 14.,"Constitution of India, Article 14.",Equality before law and due process.,Cases on special courts and non-discrimination.,Special courts cannot be arbitrary and must follow uniform legal principles.,Supreme Court struck down the law as unconstitutional.
LLAMA2_7B,Kedar Nath Singh Vs. State of Bihar,Kedar Nath Singh,State of Bihar,Sedition and freedom of speech under Article 19(1)(a).,The petitioner was convicted under Section 124A IPC (sedition) for making speeches critical of the government.,High Court upheld the conviction for sedition.,Petitioner argued that sedition laws unreasonably restricted free speech.,"Indian Penal Code, Section 124A.",Freedom of speech and reasonable restrictions.,Previous cases on sedition and free speech.,Criticism of government policies is not sedition unless it incites violence.,Supreme Court upheld Section 124A but limited its application to speech inciting violence.
LLAMA2_7B,Bharat Singh Vs. State of Haryana,Bharat Singh,State of Haryana,Validity of land acquisition for public purposes.,"The petitioner challenged the acquisition of agricultural land by the government, arguing it was not for a public purpose.",High Court upheld the land acquisition.,Petitioner argued that landowners' rights were violated without adequate compensation.,"Land Acquisition Act, 1894.",Public purpose requirement in land acquisition.,Previous rulings on land acquisition and compensation.,Land acquisition must be for a legitimate public purpose with fair compensation.,Supreme Court ruled in favor of the government but emphasized fair compensation.
LLAMA2_7B,Supreme Court Advocates-on-Record Association Vs. Union of India,Supreme Court Advocates-on-Record Association,Union of India,Constitutionality of the National Judicial Appointments Commission (NJAC).,The NJAC Act was challenged as violating judicial independence.,High Court upheld NJAC as valid.,Petitioner argued that NJAC undermined the judiciaryâ€™s independence by giving the executive more control over appointments.,"NJAC Act, 2014.",Judicial appointments under the Constitution.,Previous rulings on the separation of powers.,Judicial independence is a basic structure principle and cannot be diluted.,Supreme Court struck down NJAC as unconstitutional.
LLAMA2_7B,Laxmi Vs. Union of India,Laxmi,Union of India,Regulation of acid sales and protection of acid attack victims.,A PIL was filed seeking stricter regulations on acid sales and better compensation for acid attack survivors.,High Court suggested stricter enforcement of existing laws.,Petitioner argued that easy availability of acid led to frequent attacks and victims lacked support systems.,"Constitution of India, Article 21.",Regulations on acid sale and victim rehabilitation.,Previous rulings on womenâ€™s safety.,Stricter regulations on acid sales are necessary to prevent attacks.,Supreme Court ordered restrictions on acid sales and better compensation for victims.
LLAMA2_7B,Tamil Nadu Govt. Vs. Union of India,Tamil Nadu Govt.,Union of India,State vs. Central government power over education policies.,The Tamil Nadu government challenged certain central laws affecting state education policies.,High Court ruled in favor of the central government.,Petitioner argued that education should be a state subject under the Constitution.,"Constitution of India, Seventh Schedule.",Division of powers between state and center.,Previous cases on federalism and education policy.,Education is a subject where both state and central governments have roles.,Supreme Court upheld central laws but allowed states flexibility in implementation.
LLAMA2_7B,Subramanian Swamy Vs. Union of India,Subramanian Swamy,Union of India,Constitutionality of criminal defamation laws.,"The petitioner challenged the validity of Sections 499 and 500 IPC, arguing that they restricted free speech.",High Court upheld criminal defamation as constitutional.,"Petitioner argued that defamation laws should be a civil matter, not a criminal offense.","Indian Penal Code, Sections 499 and 500.",Freedom of speech under Article 19(1)(a).,Previous cases on defamation laws.,"Reputation is a fundamental right, and defamation laws are a reasonable restriction.",Supreme Court upheld criminal defamation laws as constitutional.
LLAMA2_7B,Ram Jawaya Kapur Vs. State of Punjab,Ram Jawaya Kapur,State of Punjab,Extent of executive power under the Constitution.,The petitioner challenged the Punjab government's action of running a business without legislative authorization.,"High Court ruled in favor of the government, stating it had the power to act in certain areas.",Petitioner argued that the executive cannot function independently without legislative approval.,"Constitution of India, Article 162.",Doctrine of separation of powers.,Previous cases on executive power limits.,Executive power extends to areas not expressly covered by legislation but cannot override it.,"Supreme Court upheld the government's action, defining the limits of executive power."
LLAMA2_7B,State of Bihar Vs. K.K. Misra,State of Bihar,K.K. Misra,Right of government employees to strike.,"Government employees went on strike demanding better wages, which led to disciplinary action against them.","High Court ruled in favor of the employees, stating that the strike was justified.",Petitioner argued that government employees do not have an absolute right to strike.,"Constitution of India, Article 19(1)(c).",Essential Services Maintenance Act.,Previous rulings on employees' rights and restrictions.,"Government employees cannot claim an absolute right to strike, especially in essential services.","Supreme Court ruled against the employees, upholding restrictions on strikes."
LLAMA2_7B,Sundararamier & Co. Vs. State of Andhra Pradesh,Sundararamier & Co.,State of Andhra Pradesh,State taxation power and interpretation of the Constitution.,"The petitioner challenged a state law imposing sales tax on inter-state trade, arguing that it violated the Constitution.",High Court upheld the tax law as valid.,Petitioner argued that only Parliament has the power to tax inter-state trade.,"Constitution of India, Article 286.",Taxation powers under the Constitution.,Previous rulings on fiscal federalism.,State taxation laws must comply with constitutional limits.,"Supreme Court struck down the state law, reinforcing Parliamentâ€™s exclusive power over inter-state trade taxation."
LLAMA2_7B,Golak Nath Vs. State of Punjab,Golak Nath,State of Punjab,Can Parliament amend fundamental rights?,The petitioner challenged constitutional amendments that curtailed fundamental rights.,High Court upheld Parliamentâ€™s power to amend fundamental rights.,Petitioner argued that fundamental rights are beyond the reach of Parliament's amendment power.,"Constitution of India, Article 368.",Doctrine of implied limitations.,No prior ruling restricting Parliamentâ€™s amendment powers.,Fundamental rights cannot be abridged or taken away by Parliament.,"Supreme Court ruled that Parliament cannot curtail fundamental rights, later overruled in Kesavananda Bharati case."
LLAMA2_7B,Shankarappa Vs. Union of India,Shankarappa,Union of India,Censorship powers of the government over films.,"A film was denied certification by the Censor Board, leading to a legal challenge on free speech grounds.",High Court upheld the Censor Boardâ€™s decision.,Petitioner argued that government interference in film certification violated Article 19(1)(a).,"Cinematograph Act, 1952.",Freedom of speech and censorship regulations.,Previous cases on media censorship.,"Censorship must be justified on reasonable grounds, not arbitrary state control.",Supreme Court ruled that the Censor Board cannot be overridden by the government arbitrarily.
LLAMA2_7B,Madhu Limaye Vs. Sub-Divisional Magistrate,Madhu Limaye,Sub-Divisional Magistrate,Scope of Section 144 CrPC and freedom of speech.,The petitioner challenged the frequent use of Section 144 CrPC by the government to curb public gatherings and protests.,High Court upheld the use of Section 144 for maintaining public order.,Petitioner argued that the provision was being misused to stifle free speech and assembly.,"Code of Criminal Procedure, Section 144.",Fundamental rights under Articles 19 and 21.,Previous cases on public order and free speech restrictions.,Section 144 must be used only in exceptional situations and not as a routine measure.,Supreme Court upheld the validity of Section 144 but restricted its arbitrary use.
LLAMA2_7B,Rupa Ashok Hurra Vs. Ashok Hurra,Rupa Ashok Hurra,Ashok Hurra,Curative petition and judicial review.,The petitioner sought a reconsideration of a Supreme Court judgment after exhausting review petitions.,High Court ruled that no further appeal was possible.,Petitioner argued that courts should have a mechanism to correct gross errors of judgment.,"Constitution of India, Article 137.",Scope of curative petitions.,Previous cases on judicial finality.,A curative petition can be entertained in cases of gross miscarriage of justice.,Supreme Court introduced the concept of curative petitions for exceptional cases.
LLAMA2_7B,Shyam Narayan Chouksey Vs. Union of India,Shyam Narayan Chouksey,Union of India,Compulsory playing of the national anthem in cinemas.,The petitioner sought mandatory playing of the national anthem before movie screenings to instill patriotism.,"High Court dismissed the plea, stating it was not a legal necessity.",Petitioner argued that playing the national anthem promotes national unity and respect.,"Prevention of Insults to National Honour Act, 1971.",Guidelines on national symbols and respect.,Previous cases on national symbols and constitutional obligations.,"Citizens must respect the national anthem, but mandatory enforcement is unnecessary.",Supreme Court initially made playing the national anthem mandatory but later revised it to optional.
LLAMA2_7B,State of Kerala Vs. N.M. Thomas,State of Kerala,N.M. Thomas,Reservation in promotions for SC/ST employees.,"The validity of extending reservations in promotions was challenged, arguing it went beyond constitutional provisions.",High Court struck down the reservation in promotions policy.,Petitioner argued that social justice measures must extend to promotions for backward classes.,"Constitution of India, Article 16(4).",Reservation policies under public employment laws.,Indra Sawhney case on reservations.,Reservation in promotions can be valid if justified for social justice.,Supreme Court upheld reservation in promotions under specific conditions.
LLAMA2_7B,Vishwanath Vs. State of Uttar Pradesh,Vishwanath,State of Uttar Pradesh,Dowry death and burden of proof under IPC.,"A woman died under suspicious circumstances soon after marriage, leading to a case under dowry death laws.",High Court convicted the accused under dowry death provisions.,Petitioner argued that mere suspicion should not lead to conviction without strong evidence.,"Indian Penal Code, Section 304B.","Dowry Prohibition Act, 1961.",Previous cases on dowry death and burden of proof.,"In dowry death cases, burden of proof shifts to the accused under certain circumstances.",Supreme Court upheld the conviction but emphasized the need for strong evidence.
LLAMA2_7B,MC Mehta Vs. Union of India (Ganga Pollution Case),MC Mehta,Union of India,Industrial pollution in the Ganga River.,A PIL was filed to address the severe pollution in the Ganga River caused by industries and untreated sewage disposal.,High Court issued directions to control pollution but lacked strict enforcement.,Petitioner argued that failure to prevent pollution violated the right to a clean environment.,"Environmental Protection Act, 1986.","Water (Prevention and Control of Pollution) Act, 1974.",Previous rulings on environmental protection.,State is responsible for maintaining clean water bodies and enforcing pollution laws.,Supreme Court ordered strict monitoring and closure of polluting industries.
LLAMA2_7B,Govind Vs. State of Madhya Pradesh,Govind,State of Madhya Pradesh,Right to privacy under Article 21.,"The petitioner challenged police surveillance, arguing it violated his right to privacy.",High Court upheld the surveillance as necessary for law enforcement.,Petitioner argued that unrestricted police surveillance intruded upon personal liberty.,"Constitution of India, Article 21.",Right to privacy and police procedures.,Previous cases on surveillance and fundamental rights.,Privacy is a fundamental right but subject to reasonable restrictions for public safety.,Supreme Court upheld limited surveillance while emphasizing the need for safeguards.
LLAMA2_7B,Indian Medical Association Vs. V.P. Shantha,Indian Medical Association,V.P. Shantha,Inclusion of medical services under the Consumer Protection Act.,The respondent filed a complaint against medical negligence and sought compensation under consumer law.,High Court ruled that medical services fell under the Consumer Protection Act.,Petitioner argued that doctors should not be treated as service providers under consumer laws.,"Consumer Protection Act, 1986.",Medical negligence and patient rights.,Previous cases on consumer rights and professional services.,Medical services are covered under consumer laws if provided for consideration.,Supreme Court ruled that patients can sue for medical negligence under the Consumer Protection Act.
LLAMA2_7B,Peopleâ€™s Union for Democratic Rights Vs. Union of India,Peopleâ€™s Union for Democratic Rights,Union of India,Enforcement of labor laws in construction projects.,A PIL was filed alleging violation of labor laws in Asiad Games construction projects.,High Court found violations but issued only advisory recommendations.,Petitioner argued that non-enforcement of labor laws violated fundamental rights of workers.,"Minimum Wages Act, 1948.",Labor rights under the Constitution.,Cases on workers' rights and state obligations.,State has a duty to ensure implementation of labor laws.,Supreme Court directed strict enforcement of labor laws and protection of workers' rights.
LLAMA2_7B,Ramesh Vs. Union of India,Ramesh,Union of India,Ban on a TV serial for allegedly spreading communal disharmony.,A complaint was filed seeking a ban on a TV serial for allegedly promoting religious intolerance.,High Court ruled in favor of allowing the broadcast.,Petitioner argued that the content incited hatred and should be restricted.,"Cinematograph Act, 1952.",Freedom of speech and reasonable restrictions.,Previous cases on media regulation and free speech.,Free speech includes artistic freedom but must not incite violence.,"Supreme Court upheld the right to broadcast, subject to monitoring for objectionable content."
LLAMA2_7B,Hindustan Sugar Mills Ltd. Vs. State of Rajasthan and Others,Hindustan Sugar Mills Ltd.,State of Rajasthan and Others,"Whether the amount of freight in sales of cement under the Cement Control Order  of the Central Sales Tax Act, making it taxable.",The Petitioner owns Udaipur Cement Works in Rajasthan and sells cement both within and outside the state.,"The lower authorities included the freight charges as part of the sale price, making it subject to sales tax.",Contended that freight was part of the price payable by the buyer and should be included in the taxable amount.,"Central Sales Tax Act, 1956, Rajasthan Sales Tax Act, 1954.",Interpretation of sale price under tax laws in controlled commodity sales.,Cases discussing whether freight charges constitute part of the sale price for taxation purposes.,The core legal issue was whether freight charges should be included in the taxable sale price when cement was sold under a government-mandated price structure.,The Court's decision was awaited on whether freight should be excluded or included in the sale price for taxation.
LLAMA2_7B,R.G. Anand Vs. Delux Films,R.G. Anand,Delux Films,Copyright infringement in literary and artistic works.,"The petitioner alleged that the respondentâ€™s film copied the theme, characters, and storyline of his play.",High Court ruled that similarities were coincidental and not substantial.,Petitioner argued that substantial similarities in theme and expression constituted copyright infringement.,"Copyright Act, 1957.",Doctrine of substantial similarity in copyright law.,Previous cases on artistic originality and copyright protection.,Mere similarity in theme does not constitute copyright infringement unless expression is copied.,"Supreme Court ruled against the petitioner, stating that broad themes are not protected by copyright."
LLAMA2_7B,Shri Roshanlal Gautam Vs. State Of Uttar Pradesh And Others,Shri Roshanlal Gautam,State of Uttar Pradesh and Others,Whether the U.P. Government’s decision to nationalize transport services.,The Petitioner held a contract carriage permit covering the Agra region.,"The Allahabad High Court upheld the State’s authority, dismissing the Petitioner's challenge.",Asserted that the State had full authority under Section 68-C to nationalize routes.,"Motor Vehicles Act, 1939.",Extent of State’s authority to revoke private transport permit. ,Cases interpreting Section 68-C in State transport nationalization.,The case examined whether private operators had rights against government nationalization.,Awaiting Supreme Court's verdict. 
LLAMA2_7B,P. Rathinam Vs. Union of India,P. Rathinam,Union of India,Decriminalization of attempted suicide under Section 309 IPC.,"The petitioner challenged the constitutionality of Section 309 IPC, arguing that punishing attempted suicide violated the right to life and dignity.",High Court upheld the validity of Section 309 IPC.,Petitioner argued that an individual has the right to end their own life.,"Indian Penal Code, Section 309.",Fundamental Rights under Article 21.,Previous cases on personal autonomy and state intervention.,Right to life does not include the right to die.,Supreme Court initially struck down Section 309 IPC but later upheld its validity in Gian Kaur case.
LLAMA2_7B,State of Karnataka Vs. Union of India,State of Karnataka,Union of India,Dispute over financial allocations between state and central government.,Karnataka challenged the central government's allocation of funds under federal financial distribution policies.,High Court ruled in favor of the central government.,Petitioner argued that the state's financial rights were being unfairly curtailed.,"Constitution of India, Seventh Schedule.",Federalism and financial distribution laws.,Previous cases on fiscal federalism.,Financial allocation must be equitable and in accordance with constitutional provisions.,Supreme Court upheld the central government's financial distribution policy but recommended fairer allocation mechanisms.
LLAMA2_7B,Rajbala Vs. State of Haryana,Rajbala,State of Haryana,Constitutionality of educational qualifications for contesting local body elections.,"Haryana amended its Panchayati Raj Act to impose minimum educational qualifications for contesting local body elections, which was challenged as discriminatory.",High Court upheld the amendment as constitutional.,Petitioner argued that imposing educational qualifications violated the right to equality and restricted political participation.,Haryana Panchayati Raj Act.,Fundamental Rights under Article 14.,Cases on electoral rights and reasonable restrictions.,Educational qualifications for elections do not violate the Constitution if they serve a rational purpose.,"Supreme Court upheld the Haryana law, ruling that it was a reasonable classification."
LLAMA2_7B,"Municipal Board, Manglaur Vs. Sri Mahadeoji Maharaj","Municipal Board, Manglaur",Sri Mahadeoji Maharaj,Whether the vacant land adjacent to a public road vested in the Municipality or was private property.,Municipality planned to build structures on the vacant site adjacent to the road.,"The Court ruled in favor of the plaintiff, granting a permanent injunction and possession.",Land was private property. Land was part of a public road and vested in the Municipality., Municipal governance laws governing public roads and adjacent land.,Extent of Municipal authority over public roads and adjacent land.,Prior rulings on roadways and adjacent land ownership.,Whether the vacant land adjacent to the road was private or public property.,Awaiting Supreme Court’s decision.
LLAMA2_7B,Union of India Vs. Association for Democratic Reforms,Union of India,Association for Democratic Reforms,Voter's right to know candidate's criminal background.,"A petition was filed demanding mandatory disclosure of candidates' criminal records, assets, and liabilities before elections.",High Court ruled that such disclosure was necessary for an informed electorate.,Petitioner argued that compulsory disclosure was unnecessary and violated the right to privacy.,"Representation of the People Act, 1951.",Electoral transparency and accountability laws.,Previous rulings on electoral reforms and voter rights.,Voters have the right to know the background of candidates they are electing.,Supreme Court mandated disclosure of candidatesâ€™ criminal records and financial details.
LLAMA2_7B,Jindal Stainless Ltd. Vs. State of Haryana,Jindal Stainless Ltd.,State of Haryana,Constitutionality of entry tax imposed by states.,"The petitioner challenged the imposition of entry tax by state governments, arguing it violated free trade between states.",High Court upheld the stateâ€™s right to impose entry tax.,Petitioner argued that entry tax restricted interstate commerce and was unconstitutional.,"Constitution of India, Article 301.",Free trade and commerce clauses under the Constitution.,Previous rulings on taxation and free trade.,"States have the right to impose entry tax, provided it does not hinder free trade.","Supreme Court upheld the validity of entry tax, ruling that states have the power to regulate trade."
LLAMA2_7B,"M/S Japan Airlines Co. Ltd Vs. Commissioner of Income Tax, New Delhi",M/S Japan Airlines Co. Ltd,"Commissioner of Income Tax, New Delhi",Whether landing and parking fees should be treated as rent for the purpose of tax deduction at source (TDS).,"Japan Airlines paid airport charges for runway maintenance, landing services, and security. ","The Income Tax Department upheld its view that landing and parking charges fall under rent, making TDS applicable.","The payments involve use of airport land, thus falling under rent.","Section 194-I of the Income Tax Act, 1961.",Whether aviation-related services fall under rent as per Income Tax Act.,Court rulings on whether airport charges fall under rental income.,Whether comprehensive aviation services can be taxed as rent.,Awaiting Supreme Court’s decision.
LLAMA2_7B,State of Punjab Vs. Jagjit Singh,State of Punjab,Jagjit Singh,Equal pay for equal work for temporary employees.,"The petitioner, a temporary government employee, claimed equal pay as that of a permanent employee for performing similar duties.","High Court ruled in favor of the employee, granting equal pay.",Petitioner argued that temporary employees are not entitled to the same benefits as regular employees.,"Constitution of India, Article 14.",Principle of equal pay for equal work.,Previous cases on temporary employee rights.,"If temporary employees perform the same duties as permanent employees, they are entitled to equal pay.","Supreme Court upheld the High Courtâ€™s decision, enforcing the principle of equal pay for equal work."
LLAMA2_7B,Kailas & Others Vs. State of Maharashtra,Kailas & Others,State of Maharashtra,Honor killing and criminal liability.,"The petitioners were convicted for killing a couple who married against societal norms, raising the issue of whether honor killings should be treated as separate offenses.",High Court upheld the conviction under murder charges.,Petitioner argued that social customs should be considered in sentencing.,"Indian Penal Code, Section 302.",Criminal laws on murder and sentencing.,Previous rulings on honor killings and severe punishment.,Honor killings must be treated as murder with strict punishment.,"Supreme Court upheld life imprisonment for the accused, emphasizing deterrence against honor killings."
LLAMA2_7B,Krishna Pillai Vs. State of Madras,Krishna Pillai,State of Madras,Whether illegal smuggling of gold and subsequent confession of guilt should lead to conviction under the Land Customs Act.,Krishna Pillai was caught smuggling gold from Pondicherry into India.,Trial Court found Krishna Pillai guilty.,"The accused was caught smuggling gold, justifying his conviction.","Section 7(1)(b) of the Land Customs Act, 1924.",Any goods transported without customs permission are subject to confiscation.,Cases involving unauthorized transport of dutiable goods across borders.,Whether a confession of smuggling should be considered sufficient evidence for conviction.,"High Court found issues with how the confession was obtained, upheld the sentence, but reversed the confiscation of gold."
LLAMA2_7B,State of Rajasthan Vs. Jagannath,State of Rajasthan,Jagannath,Land encroachment and eviction laws.,"The respondent was accused of encroaching on government land, leading to a dispute over eviction laws and rehabilitation.",High Court ruled against the respondent and ordered eviction.,Petitioner argued that state land cannot be occupied without proper authorization.,Land Encroachment Act.,Eviction and land protection policies.,Previous rulings on unauthorized land occupation.,"Illegal encroachment must be removed, but proper rehabilitation should be considered.",Supreme Court upheld eviction but directed the state to provide rehabilitation where necessary.
LLAMA2_7B,National Legal Services Authority Vs. Union of India,National Legal Services Authority (NALSA),Union of India,Recognition of transgender rights and legal status.,A PIL was filed to recognize transgender individuals as a third gender and secure their fundamental rights.,High Court ruled in favor of transgender rights but did not mandate specific policies.,Petitioner argued that denial of legal recognition violated dignity and equal protection under the law.,"Constitution of India, Articles 14, 15, 21.",Human rights and gender identity laws.,Previous rulings on minority rights and dignity.,Transgender individuals must be legally recognized and granted equal rights.,Supreme Court recognized transgender individuals as the third gender and directed the government to implement inclusive policies.
LLAMA2_7B,Mithu Vs. State of Punjab,Mithu,State of Punjab,Constitutionality of mandatory death penalty under Section 303 IPC.,The petitioner challenged the mandatory death penalty imposed under Section 303 IPC for offenders serving life imprisonment.,High Court upheld the provision as valid.,Petitioner argued that a mandatory death sentence violated the right to life and judicial discretion.,"Indian Penal Code, Section 303.",Fundamental Rights under Article 21.,Previous cases on sentencing guidelines.,Mandatory death penalty is unconstitutional as it eliminates judicial discretion.,"Supreme Court struck down Section 303 IPC, declaring it unconstitutional."
LLAMA2_7B,D.K. Basu Vs. State of West Bengal,D.K. Basu,State of West Bengal,Guidelines for protection against custodial violence.,"A PIL was filed highlighting cases of custodial torture and deaths, seeking preventive measures.",High Court recommended procedural reforms but did not issue binding guidelines.,Petitioner argued that lack of safeguards led to unchecked police brutality.,"Constitution of India, Article 21.",Custodial safety and police accountability regulations.,Cases on human rights and police excesses.,"Fundamental rights extend to detainees, and custodial abuse must be prevented.",Supreme Court issued strict guidelines for arrest and custodial treatment.
LLAMA2_7B,Ajay Hasia Vs. Khalid Mujib Sehravardi,Ajay Hasia,Khalid Mujib Sehravardi,Whether government-funded institutions fall under 'State' under Article 12.,"A technical institute was accused of discriminatory admission practices, raising the issue of whether it was covered under Article 12.",High Court ruled that the institute did not qualify as 'State' under Article 12.,Petitioner argued that institutions receiving substantial government funding should be treated as State.,"Constitution of India, Article 12.",Interpretation of 'State' in fundamental rights cases.,Previous cases on public institutions and fundamental rights.,Institutions heavily funded and controlled by the government fall under 'State' under Article 12.,Supreme Court ruled that the technical institute was covered under Article 12 and bound by fundamental rights.
LLAMA2_7B,Narmada Bachao Andolan Vs. Union of India,Narmada Bachao Andolan,Union of India,Environmental impact and displacement due to dam construction.,"A PIL was filed against the construction of the Sardar Sarovar Dam, citing large-scale displacement and ecological damage.","High Court ruled in favor of the project, citing developmental needs.",Petitioner argued that the dam violated environmental and rehabilitation policies.,"Environmental Protection Act, 1986.",Resettlement and Rehabilitation Guidelines.,Previous cases on environmental and human rights concerns.,Development projects must balance ecological concerns and rehabilitation needs.,Supreme Court upheld the damâ€™s construction but mandated strict rehabilitation measures.
LLAMA2_7B,"The Commissioner of Income-Tax, Bombay Vs. S. K. F. Ball Bearing Co., Ltd.","Commissioner of Income-Tax, Bombay","S. K. F. Ball Bearing Co., Ltd.",Whether remittances under the agreement constituted taxable income for S. K. F. under Indian tax laws.," It was an agent for foreign corporations, selling goods on their behalf.","High Court determined that S. K. F. acted as an agent, and only remittances after sales proceeds were realized were taxable.",S. K. F. was merely disguising profits as remittances. Remittances were not part of the agent’s profit but a transfer of funds to the principal.,Section 4(1)(a) of the Indian Income-Tax Act.,"The sale proceeds belong to the principal, but the timing of remittances affects tax liability.",Cases defining whether an agent’s remittances are taxable.,Whether sale proceeds collected by an agent are liable to taxation before remittance.,"Supreme Court overturned the High Court ruling, clarifying that remittances made under contractual obligation were not taxable as profits."
LLAMA2_7B,"Turner Morrison And Co., Ltd Vs. Hungerford Investment Trust Ltd","Turner Morrison And Co., Ltd",Hungerford Investment Trust Ltd,Whether the plaintiff's claim for reimbursement and interest was legally justified.,"Turner Morrison sued Hungerford for reimbursement of super tax payments and interest, claiming a lien on 2,295 shares. The defendant countered that no legal obligation existed for reimbursement.  ","Ruled that Turner Morrison had not sufficiently proven the tax payment, and the claim was barred by waiver and limitation.",Asserted its right to recover super tax payments with interest.,"Contract law, taxation principles, and legal doctrines of waiver, estoppel, and limitation.","Voluntary payments without contractual obligation cannot be reimbursed, and claims barred by limitation cannot be enforced.","Cases involving estoppel, waiver, and limitation in financial claims.",Whether Turner Morrison’s claim was legally enforceable or barred by limitation and estoppel.,"Dismissed the appeal, stating that no valid claim."
